gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,No,Yes,5,Yes,No phone service,DSL,No,Yes,No,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),48.22,229.56,No
Female,0,Yes,Yes,2,Yes,No phone service,No,No,No,No,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),111.17,217.17,Yes
Female,0,Yes,No,25,Yes,No phone service,DSL,No,No internet service,No,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,42.22,1070.62,No
Male,0,No,Yes,59,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Two year,Yes,Bank transfer (automatic),85.77,5071.45,No
Male,0,Yes,No,24,Yes,Yes,DSL,No,No internet service,No internet service,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),64.62,1565.21,No
Female,0,No,No,31,Yes,Yes,Fiber optic,No,No internet service,No internet service,Yes,No,No,Month-to-month,Yes,Credit card (automatic),20.09,657.71,Yes
Male,0,No,No,38,Yes,No,Fiber optic,No internet service,Yes,No internet service,Yes,No,No,One year,Yes,Electronic check,80.15,3046.65,No
Female,0,No,No,23,Yes,No,No,No,No internet service,Yes,No internet service,No,Yes,One year,No,Credit card (automatic),21.23,502.43,No
Male,0,Yes,Yes,35,Yes,No phone service,DSL,Yes,No,No,No internet service,Yes,No,Month-to-month,Yes,Mailed check,23.49,779.28,No
Male,0,Yes,No,43,Yes,Yes,DSL,No internet service,No,No internet service,No,No,Yes,One year,No,Electronic check,85.47,3678.82,No
Female,0,No,No,61,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),68.72,4164.92,No
Female,0,Yes,Yes,54,Yes,No,DSL,No internet service,Yes,No,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,107.99,5818.85,No
Female,0,No,No,58,Yes,No,DSL,No,No internet service,No internet service,No,Yes,No internet service,Two year,No,Mailed check,64.21,3715.0,No
Female,0,No,No,37,Yes,Yes,No,No,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,No,Mailed check,118.68,4391.08,No
Female,0,No,Yes,50,Yes,No,Fiber optic,Yes,No,No internet service,No,No internet service,No,Two year,Yes,Credit card (automatic),20.11,993.85,No
Female,0,No,Yes,10,Yes,No phone service,Fiber optic,No internet service,No,No,No,Yes,No internet service,One year,No,Electronic check,112.04,1112.75,No
Female,0,Yes,No,10,Yes,Yes,No,Yes,No,Yes,Yes,No internet service,Yes,Two year,Yes,Mailed check,40.39,416.9,No
Male,0,Yes,No,66,Yes,No,DSL,No internet service,No internet service,No,No,Yes,Yes,Two year,Yes,Mailed check,37.32,2464.88,No
Female,1,Yes,No,43,Yes,No,DSL,No internet service,Yes,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),67.54,2902.88,Yes
Male,0,No,No,8,Yes,No,DSL,No internet service,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),84.52,676.07,Yes
Female,1,No,No,29,Yes,No,DSL,Yes,No internet service,Yes,No internet service,No internet service,No,One year,Yes,Credit card (automatic),81.69,2364.42,No
Male,0,No,Yes,69,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No,No internet service,No,Month-to-month,No,Credit card (automatic),54.06,3749.95,No
Male,0,No,No,1,No,Yes,No,No internet service,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),80.71,78.88,No
Female,0,Yes,No,31,Yes,No phone service,No,No,No internet service,No internet service,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),64.0,2029.21,Yes
Female,0,No,No,60,Yes,No,Fiber optic,No,No,No,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),39.24,2363.51,No
Female,1,Yes,No,68,Yes,No,No,No internet service,Yes,Yes,No internet service,Yes,Yes,Month-to-month,No,Electronic check,21.76,1494.62,Yes
Male,0,Yes,No,26,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,No,No,One year,Yes,Credit card (automatic),84.64,2194.31,No
Female,1,Yes,Yes,65,Yes,No,DSL,Yes,No internet service,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,79.18,5157.78,No
Female,1,Yes,No,51,No,Yes,DSL,No internet service,No internet service,Yes,No,No internet service,Yes,Month-to-month,Yes,Mailed check,69.38,3558.76,No
Male,0,No,Yes,29,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),64.09,1862.82,No
Male,0,Yes,No,56,Yes,No,DSL,No,Yes,No,No internet service,No,No internet service,One year,Yes,Bank transfer (automatic),69.43,3880.34,No
Male,0,Yes,Yes,57,Yes,No phone service,DSL,No,Yes,No internet service,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),29.51,1703.97,No
Male,0,No,No,19,Yes,No,No,Yes,No,Yes,Yes,No internet service,No,Two year,No,Mailed check,87.51,1701.88,No
Female,0,No,Yes,6,Yes,No,DSL,Yes,Yes,No,Yes,No internet service,Yes,Two year,No,Credit card (automatic),105.75,604.72,No
Female,0,Yes,No,56,Yes,No,Fiber optic,No internet service,No,No,No internet service,No,Yes,One year,Yes,Mailed check,29.67,1652.03,No
Male,1,Yes,Yes,5,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,96.58,482.0,Yes
Female,0,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,No internet service,Yes,No,No internet service,One year,No,Credit card (automatic),60.71,3392.55,No
Female,0,No,No,25,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,98.4,2458.77,No
Male,0,Yes,No,50,Yes,No phone service,DSL,No internet service,No internet service,No,No internet service,No internet service,Yes,Two year,No,Credit card (automatic),69.43,3451.44,No
Female,0,Yes,No,43,Yes,No,DSL,No,Yes,Yes,No,No,No internet service,One year,Yes,Mailed check,40.59,1763.98,No
Male,1,Yes,No,2,Yes,No,Fiber optic,No internet service,Yes,No,No,No internet service,No,One year,Yes,Bank transfer (automatic),59.91,120.35,No
Female,0,Yes,No,0,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,No internet service,One year,Yes,Credit card (automatic),30.45,4.99,No
Female,1,No,No,45,Yes,No,DSL,Yes,No,No internet service,Yes,No internet service,No internet service,One year,Yes,Credit card (automatic),19.76,883.5,No
Male,0,Yes,Yes,37,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,No,Mailed check,21.12,767.64,No
Male,1,No,No,3,Yes,No,DSL,No,No internet service,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,115.93,334.6,Yes
Female,0,Yes,No,70,No,Yes,DSL,Yes,No internet service,No internet service,No,Yes,Yes,Month-to-month,No,Mailed check,118.98,8360.8,Yes
Male,0,No,No,17,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Two year,No,Mailed check,22.03,354.84,No
Female,0,No,No,61,Yes,No phone service,DSL,Yes,No internet service,No internet service,No internet service,Yes,No internet service,One year,Yes,Credit card (automatic),37.36,2271.04,No
Female,0,Yes,No,8,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),67.72,505.56,Yes
Female,0,No,No,16,Yes,No,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,83.78,1350.14,No
Female,0,No,No,38,Yes,No phone service,No,No,Yes,Yes,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,35.58,1369.71,No
Male,0,No,No,38,Yes,Yes,DSL,No internet service,No internet service,No,No,No internet service,No,Two year,Yes,Mailed check,39.69,1473.18,No
Male,0,Yes,Yes,43,Yes,No phone service,Fiber optic,No internet service,Yes,No,Yes,No internet service,No internet service,Two year,Yes,Electronic check,70.44,3014.45,Yes
Male,0,Yes,No,12,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),23.05,260.71,No
Male,0,No,No,19,Yes,No,DSL,Yes,No,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),72.42,1368.85,No
Male,0,Yes,Yes,18,Yes,Yes,DSL,No internet service,No internet service,No,No,Yes,Yes,Month-to-month,No,Mailed check,108.07,1956.3,No
Female,0,No,No,31,Yes,Yes,No,No,No,No internet service,No,No internet service,No,Month-to-month,Yes,Mailed check,118.67,3678.24,Yes
Male,0,No,No,66,Yes,No,Fiber optic,Yes,No,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),73.17,4829.21,No
Female,0,Yes,No,33,Yes,No phone service,DSL,No,No internet service,No,No,No internet service,No internet service,One year,No,Bank transfer (automatic),55.77,1811.9,No
Female,0,Yes,No,71,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,No,Two year,Yes,Electronic check,96.42,6844.97,No
Female,0,No,No,18,No,No,Fiber optic,Yes,No internet service,No,No,Yes,No internet service,Month-to-month,No,Mailed check,109.99,1998.89,No
Female,0,Yes,No,17,Yes,No phone service,DSL,No internet service,No internet service,Yes,No internet service,No,No internet service,Month-to-month,No,Credit card (automatic),67.28,1145.87,Yes
Male,1,Yes,No,7,Yes,Yes,DSL,No,Yes,No,No internet service,Yes,Yes,One year,Yes,Mailed check,104.22,689.42,No
Female,0,No,No,15,Yes,No,DSL,Yes,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),61.55,948.64,No
Male,0,Yes,Yes,22,Yes,Yes,Fiber optic,No,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,63.91,1433.04,No
Male,0,Yes,No,27,Yes,Yes,Fiber optic,No internet service,Yes,No,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),76.93,2088.46,No
Female,0,Yes,No,51,Yes,No,DSL,Yes,No,No internet service,No,No,No,One year,Yes,Bank transfer (automatic),62.1,3185.75,No
Male,0,Yes,Yes,32,Yes,No phone service,Fiber optic,No,No,No,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),43.63,1405.75,No
Male,0,Yes,No,49,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No,Yes,No,One year,Yes,Credit card (automatic),107.17,5264.51,No
Male,0,Yes,No,6,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,No,Two year,Yes,Credit card (automatic),115.34,680.57,No
Female,0,No,No,68,Yes,No,DSL,No,No,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,73.57,5018.59,No
Male,0,Yes,No,10,Yes,No phone service,DSL,Yes,No,Yes,No internet service,No,No,One year,Yes,Electronic check,98.47,939.94,No
Male,0,No,No,2,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,41.19,79.19,Yes
Male,1,Yes,No,30,Yes,No,DSL,No,No,No,Yes,No internet service,No internet service,One year,Yes,Mailed check,88.76,2681.09,No
Female,1,No,No,46,Yes,Yes,DSL,No,Yes,No internet service,Yes,No internet service,No,Month-to-month,No,Mailed check,49.44,2303.54,No
Male,1,Yes,No,16,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,No internet service,No,Month-to-month,No,Electronic check,35.56,577.3,No
Male,1,No,No,11,Yes,No phone service,No,No internet service,Yes,No,No internet service,No,Yes,One year,Yes,Electronic check,67.71,768.82,No
Male,0,Yes,No,60,Yes,No phone service,No,No,No internet service,No,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),21.13,1266.71,No
Female,0,No,Yes,59,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,47.73,2828.85,No
Female,0,No,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Two year,Yes,Credit card (automatic),40.86,2220.71,No
Female,0,Yes,No,15,Yes,Yes,DSL,No internet service,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,Mailed check,68.65,982.53,No
Male,0,No,No,38,Yes,Yes,No,No internet service,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,68.6,2622.42,No
Male,1,Yes,No,49,Yes,No,DSL,No internet service,No internet service,No internet service,Yes,Yes,No,Two year,No,Mailed check,87.47,4288.4,No
Female,0,Yes,No,31,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,30.4,946.79,No
Female,0,Yes,No,12,Yes,Yes,No,No,No internet service,No,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),63.0,773.91,Yes
Female,0,No,Yes,59,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,22.57,1320.95,No
Male,0,No,No,67,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),99.69,6679.75,No
Male,0,No,No,11,Yes,No phone service,DSL,No internet service,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),109.07,1201.17,Yes
Female,0,No,Yes,50,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),119.05,5960.23,No
